,audio,sentence
0,"{'array': array([array([-6.2872425e-07,  5.7267641e-07, -8.3704526e-07, ...,
               0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32),
       array([-6.2872425e-07,  5.7267641e-07, -8.3704526e-07, ...,
               0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_35154350_73842430.wav', 'sampling_rate': 16000}",I feel dizzy after doing a muscular effort.
1,"{'array': array([array([-8.6737691e-06,  4.5319273e-05,  8.1341350e-05, ...,
               0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32),
       array([-8.6737691e-06,  4.5319273e-05,  8.1341350e-05, ...,
               0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_35832653_46105544.wav', 'sampling_rate': 16000}",I break out on my face very frequently
2,"{'array': array([array([-0.00248821, -0.00198542, -0.00059994, ...,  0.00333916,
               0.00494176,  0.00578071], dtype=float32)               ,
       array([-0.00248821, -0.00198542, -0.00059994, ...,  0.00333916,
               0.00494176,  0.00578071], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_35444693_104749267.wav', 'sampling_rate': 16000}",Sometimes my body feels week without reason
3,"{'array': array([array([-7.1833056e-06, -1.1165817e-05, -1.5072306e-05, ...,
               3.2913891e-07, -9.8997170e-08,  8.0200735e-09], dtype=float32),
       array([-7.1833056e-06, -1.1165817e-05, -1.5072306e-05, ...,
               3.2913891e-07, -9.8997170e-08,  8.0200735e-09], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_28006404_28917076.wav', 'sampling_rate': 16000}",There feels like a swollen knot at my shoulderblade with pain shooting from that
4,"{'array': array([array([-1.9775085e-04, -3.8130864e-05,  5.4352431e-06, ...,
              -2.5695789e-04, -2.9795544e-04, -3.3417318e-04], dtype=float32),
       array([-1.9775085e-04, -3.8130864e-05,  5.4352431e-06, ...,
              -2.5695789e-04, -2.9795544e-04, -3.3417318e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43402738_55341162.wav', 'sampling_rate': 16000}",When I get out of bed in the morning my body feels very weak.
5,"{'array': array([array([-0.00026831, -0.00042468, -0.00054523, ...,  0.00041469,
               0.00047131,  0.00018767], dtype=float32)               ,
       array([-0.00026831, -0.00042468, -0.00054523, ...,  0.00041469,
               0.00047131,  0.00018767], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44111844_14487278.wav', 'sampling_rate': 16000}",My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.
6,"{'array': array([array([-9.9489000e-05, -2.0835573e-04, -1.5093296e-04, ...,
               8.4382755e-06, -5.1327272e-05, -5.4424709e-05], dtype=float32),
       array([-9.9489000e-05, -2.0835573e-04, -1.5093296e-04, ...,
               8.4382755e-06, -5.1327272e-05, -5.4424709e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_18386513_23655198.wav', 'sampling_rate': 16000}",The pain in my ear is unbearable.
7,"{'array': array([array([ 4.9322673e-05,  4.3403612e-05,  4.1274630e-05, ...,
              -1.6254137e-04, -7.9527689e-04, -3.9027480e-04], dtype=float32),
       array([ 4.9322673e-05,  4.3403612e-05,  4.1274630e-05, ...,
              -1.6254137e-04, -7.9527689e-04, -3.9027480e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_20518958_26411360.wav', 'sampling_rate': 16000}",When I wake up in the morning I feel a soreness in my body
8,"{'array': array([array([ 0.00045241,  0.00097635,  0.00098739, ..., -0.00063421,
              -0.0004934 , -0.00054842], dtype=float32)               ,
       array([ 0.00045241,  0.00097635,  0.00098739, ..., -0.00063421,
              -0.0004934 , -0.00054842], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_39740177_54999776.wav', 'sampling_rate': 16000}","My stomach aches when I eat hot food, why?"
9,"{'array': array([array([ 1.7147766e-05,  9.0419118e-05, -2.6471770e-04, ...,
               5.4886569e-03,  5.3077126e-03,  4.5938022e-03], dtype=float32),
       array([ 1.7147766e-05,  9.0419118e-05, -2.6471770e-04, ...,
               5.4886569e-03,  5.3077126e-03,  4.5938022e-03], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_42210938_45820130.wav', 'sampling_rate': 16000}",My throught is so sore.
10,"{'array': array([array([ 1.4661699e-04,  5.2625453e-04,  7.0390780e-04, ...,
               4.6478388e-05, -1.3476881e-04,  7.4246367e-05], dtype=float32),
       array([ 1.4661699e-04,  5.2625453e-04,  7.0390780e-04, ...,
               4.6478388e-05, -1.3476881e-04,  7.4246367e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_14353703_23293673.wav', 'sampling_rate': 16000}","I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
11,"{'array': array([array([-0.00103466, -0.00063851,  0.00047518, ..., -0.00145284,
              -0.00166005, -0.00124265], dtype=float32)               ,
       array([-0.00103466, -0.00063851,  0.00047518, ..., -0.00145284,
              -0.00166005, -0.00124265], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_35448024_51511610.wav', 'sampling_rate': 16000}",The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.
12,"{'array': array([array([-0.00508714, -0.00850243, -0.00742563, ..., -0.00068446,
              -0.00077493, -0.00069743], dtype=float32)               ,
       array([-0.00508714, -0.00850243, -0.00742563, ..., -0.00068446,
              -0.00077493, -0.00069743], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_39740177_23357931.wav', 'sampling_rate': 16000}",I feel pain in my shoulders when I write on the keyboard.
13,"{'array': array([array([-1.9605720e-06,  1.3933204e-05,  9.6762979e-06, ...,
              -2.4062176e-06, -2.7234531e-05, -1.4777614e-05], dtype=float32),
       array([-1.9605720e-06,  1.3933204e-05,  9.6762979e-06, ...,
              -2.4062176e-06, -2.7234531e-05, -1.4777614e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_34824899_40644680.wav', 'sampling_rate': 16000}",I have a split on my thumb that will not heal.
14,"{'array': array([array([ 9.8958008e-05,  1.5890361e-04,  7.3184507e-05, ...,
              -1.2176753e-04, -1.2133316e-04, -8.7865097e-05], dtype=float32),
       array([ 9.8958008e-05,  1.5890361e-04,  7.3184507e-05, ...,
              -1.2176753e-04, -1.2133316e-04, -8.7865097e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_36505751_11966660.wav', 'sampling_rate': 16000}",I'm in need for a treatment for my hair fall
15,"{'array': array([array([0.00042813, 0.00019617, 0.00022518, ..., 0.00012582, 0.00023532,
              0.00028459], dtype=float32)                                     ,
       array([0.00042813, 0.00019617, 0.00022518, ..., 0.00012582, 0.00023532,
              0.00028459], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_36505751_25939040.wav', 'sampling_rate': 16000}","My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness."
16,"{'array': array([array([-0.00152215, -0.00213878, -0.0012509 , ...,  0.00061651,
               0.00088039,  0.00071621], dtype=float32)               ,
       array([-0.00152215, -0.00213878, -0.0012509 , ...,  0.00061651,
               0.00088039,  0.00071621], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_38548574_49402035.wav', 'sampling_rate': 16000}",I have a feeling like my whole body is complaining
17,"{'array': array([array([ 1.8080273e-05,  6.3699685e-05,  1.8698088e-04, ...,
              -3.2876738e-04,  9.8696401e-06,  3.7973761e-04], dtype=float32),
       array([ 1.8080273e-05,  6.3699685e-05,  1.8698088e-04, ...,
              -3.2876738e-04,  9.8696401e-06,  3.7973761e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43665783_32187997.wav', 'sampling_rate': 16000}",I feel dizzy when i make sudden movements
18,"{'array': array([array([-2.6288842e-05, -5.8312966e-05, -9.2271184e-05, ...,
              -9.0682886e-05, -9.1040660e-05, -6.9023838e-05], dtype=float32),
       array([-2.6288842e-05, -5.8312966e-05, -9.2271184e-05, ...,
              -9.0682886e-05, -9.1040660e-05, -6.9023838e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43898158_28020958.wav', 'sampling_rate': 16000}",longitudinal burning line across back with hard respiratory movements
19,"{'array': array([array([-0.00252781, -0.00353526, -0.00252337, ..., -0.00341211,
              -0.00387213, -0.00244296], dtype=float32)               ,
       array([-0.00252781, -0.00353526, -0.00252337, ..., -0.00341211,
              -0.00387213, -0.00244296], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43620482_59681420.wav', 'sampling_rate': 16000}",I don't know why I'm constantly sad.
20,"{'array': array([array([-0.00958881,  0.01460589, -0.01429424, ..., -0.00093281,
               0.00372584,  0.00200638], dtype=float32)               ,
       array([-0.00958881,  0.01460589, -0.01429424, ..., -0.00093281,
               0.00372584,  0.00200638], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44093933_109189216.wav', 'sampling_rate': 16000}",It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
21,"{'array': array([array([-0.00697041, -0.01094583, -0.00956406, ...,  0.00114105,
               0.00120668,  0.00231562], dtype=float32)               ,
       array([-0.00697041, -0.01094583, -0.00956406, ...,  0.00114105,
               0.00120668,  0.00231562], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_38042052_12672080.wav', 'sampling_rate': 16000}",itch at front and center of scalp
22,"{'array': array([array([ 0.00832005,  0.01812316,  0.02012262, ..., -0.00163014,
              -0.00063947,  0.00032163], dtype=float32)               ,
       array([ 0.00832005,  0.01812316,  0.02012262, ..., -0.00163014,
              -0.00063947,  0.00032163], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_29713479_56491847.wav', 'sampling_rate': 16000}",i hit the ground when trying to shoot a basketball
23,"{'array': array([array([-0.0095308 , -0.01191743, -0.00567118, ...,  0.00240173,
               0.00607977,  0.00795021], dtype=float32)               ,
       array([-0.0095308 , -0.01191743, -0.00567118, ...,  0.00240173,
               0.00607977,  0.00795021], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_41087148_80182057.wav', 'sampling_rate': 16000}",I can't walk well I have an ache in my foot
24,"{'array': array([array([-2.0255324e-05, -3.3956072e-05, -2.4860492e-05, ...,
              -1.1252388e-05, -1.7979632e-05,  1.7933422e-06], dtype=float32),
       array([-2.0255324e-05, -3.3956072e-05, -2.4860492e-05, ...,
              -1.1252388e-05, -1.7979632e-05,  1.7933422e-06], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_1853182_21608484.wav', 'sampling_rate': 16000}",My biceps started aching after I went to the gym
25,"{'array': array([array([-0.0059375 , -0.00808186, -0.00745916, ..., -0.00227914,
              -0.00626261, -0.00414943], dtype=float32)               ,
       array([-0.0059375 , -0.00808186, -0.00745916, ..., -0.00227914,
              -0.00626261, -0.00414943], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44259428_17428469.wav', 'sampling_rate': 16000}",I feel pain in my knee when I climb the stairs.
26,"{'array': array([array([ 0.00628003,  0.00746946,  0.00411714, ..., -0.03358344,
              -0.03187831, -0.04282895], dtype=float32)               ,
       array([ 0.00628003,  0.00746946,  0.00411714, ..., -0.03358344,
              -0.03187831, -0.04282895], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43951421_49282803.wav', 'sampling_rate': 16000}",It feels like I can't take a deep breath
27,"{'array': array([array([ 0.00014243, -0.00071165, -0.00037527, ..., -0.00070951,
              -0.00042735, -0.00065087], dtype=float32)               ,
       array([ 0.00014243, -0.00071165, -0.00037527, ..., -0.00070951,
              -0.00042735, -0.00065087], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_33905644_13469742.wav', 'sampling_rate': 16000}",It feels like my heart is going to leap out of my body. It hurts.
28,"{'array': array([array([ 8.4637683e-03, -4.0583704e-03,  2.7805164e-03, ...,
               1.5315632e-05,  8.6581873e-05,  4.9743645e-05], dtype=float32),
       array([ 8.4637683e-03, -4.0583704e-03,  2.7805164e-03, ...,
               1.5315632e-05,  8.6581873e-05,  4.9743645e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44093933_30756753.wav', 'sampling_rate': 16000}",When I get out of bed in the morning my body feels very weak.
29,"{'array': array([array([0.00889894, 0.00971389, 0.0078474 , ..., 0.00726478, 0.00743861,
              0.00390813], dtype=float32)                                     ,
       array([0.00889894, 0.00971389, 0.0078474 , ..., 0.00726478, 0.00743861,
              0.00390813], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_44259428_82428785.wav', 'sampling_rate': 16000}",glass broken and wound my leg badly the wound is so wide
30,"{'array': array([array([-0.00138719, -0.00348965, -0.00553322, ...,  0.01118205,
               0.00978687,  0.00480569], dtype=float32)               ,
       array([-0.00138719, -0.00348965, -0.00553322, ...,  0.01118205,
               0.00978687,  0.00480569], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44259428_107932197.wav', 'sampling_rate': 16000}",i can't rotate my neck
31,"{'array': array([array([ 0.01185829,  0.01892401,  0.03087577, ..., -0.00589612,
               0.00830554,  0.01297855], dtype=float32)               ,
       array([ 0.01185829,  0.01892401,  0.03087577, ..., -0.00589612,
               0.00830554,  0.01297855], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_39675900_58459793.wav', 'sampling_rate': 16000}",My back is hurting so much.
32,"{'array': array([array([-0.00053925, -0.00108327, -0.0011409 , ..., -0.00625791,
              -0.00592346, -0.00611506], dtype=float32)               ,
       array([-0.00053925, -0.00108327, -0.0011409 , ..., -0.00625791,
              -0.00592346, -0.00611506], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_19425875_59468118.wav', 'sampling_rate': 16000}",i have disterbance in my emotion
33,"{'array': array([array([7.0857925e-05, 1.3082242e-04, 7.4610551e-05, ..., 3.5187291e-05,
              2.1979999e-04, 1.7137911e-04], dtype=float32)                   ,
       array([7.0857925e-05, 1.3082242e-04, 7.4610551e-05, ..., 3.5187291e-05,
              2.1979999e-04, 1.7137911e-04], dtype=float32)                   ],
      dtype=object), 'path': './recordings/1249120_15830408_20446817.wav', 'sampling_rate': 16000}",I felt my heart hurts when I ran for along distance
34,"{'array': array([array([ 0.00231907,  0.0002529 , -0.0030721 , ...,  0.002361  ,
              -0.0027155 , -0.00534061], dtype=float32)               ,
       array([ 0.00231907,  0.0002529 , -0.0030721 , ...,  0.002361  ,
              -0.0027155 , -0.00534061], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43951421_38887517.wav', 'sampling_rate': 16000}",I have a pain in my joint
